record_id,time,victim,narrative,date_raw,source_page,notes
9690,1800 - 0800 HRS.,OAK PARK RESIDENT,"subject(s) unknown by means of a cutting instrument, removed the catalytic converter from the victim's blue ford escape. estimated loss is $1,500.00 .",02-SEP-23,1.0,
9691,2200-0845 HRS.,PARK DISTRICT OF OAK PARK - 218 MADISON ST.,"person(s) unknown by means of cutting the flagpole lanyard, removed the 6'x 3' flag. total estimated loss unknown at time of report.",21-AUG-23 - 22-AUG-23,1.0,
9692,0913 HRS.,VOLVO / 1140 GARFIELD,"subject: guidry-watkins, pianche (m/34) of the 1000 block of s. humphrey, oak park, il. was arrested for criminal trespass to property.",20-JUL-23,1.0,
9693,1335 HRS.,STATE OF ILLINOIS,"subject: boose, alexia (f/32) of the 14500 block of s. mainstee, chicago, il. was arrested on an active warrant out of oak park for battery.",06-APR-23,1.0,legit_outside_oak_park: event outside OP (CROWN POINT)
9694,0000-1700 HRS.,M & M MANAGEMENT - OAK PARK BUSINESS,person(s) unknown caused damage to two glass window panes in the kitchen at the above location. estimated damage $200.00.,16-JAN-23 - 17-JAN-23,1.0,
9695,1630 HRS.,OAK PARK RESIDENT,the f/w offender was observed by a witness removing two usps packages from the victim's exterior front porch. the packages contained two covid tests. estimated loss $60.00.,09-JAN-23,2.0,
9696,1700 - 1530 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the victim's package from the apartment vestibule. package contained (1) pet toy and cleaning product. estimated loss $60.,02-DEC-22 - 06-DEC-22,2.0,
9697,1004 HRS.,CHICAGO RESIDENT,"a 2016 hyundai tucson that was reported stolen on 13-nov-22 from the 3500 block of w. ohio, chicago was recovered. vehicle was turned over to the owner.",17-NOV-22,1.0,
9698,0000-1947 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means damaged the victims doorbell buzzer system on the exterior of the apartment complex. estimated damage $1,500.00.",27-OCT-22 - 07-NOV-22,1.0,legit_outside_oak_park: event outside OP (Chicago)
9699,1730-0602 HRS.,OAK PARK RESIDENT,"person(s) unknown broke the victims window and removed the victims 2018 kia optima, while parked at the above address. total estimated loss $20.000.00.",29-SEP-22 - 30-SEP-22,1.0,
9700,2030-0640 HRS,OAK PARK RESIDENT,person(s) unknown removed the catalytic converter from the victim's 2005 honda 4dr while it was parked on the street. total estimated loss is $200.00.,20-SEP-22 - 21-SEP-22,1.0,
9701,. 1700 - 1938 HRS.,OAK PARK RESIDENT,person(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's 2006 honda crv. estimated loss is $3000.00.,25-AUG-22 - 26-AUG-22,2.0,
9702,. 2130 - 0829 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means broke the rear passenger side window of the victim's 2019 black hyundai elantra. estimated loss $200.00.,27-JUL-22 - 28-JUL-22,2.0,
9703,1815-2100 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's package from the residence at the above location. the package contained black farallon weekender pants. estimated loss $87.20.,26-APR-22,1.0,
9704,0134 HRS.,,"subject: keri, colette 25 yoa, of the 5600 block of w. fullerton, chicago was stopped for traffic and found to have an active warrant out of dupage county for disorderly conduct.",22-APR-22,2.0,
9705,1800-0846 HRS.,OAK PARK RESIDENT,person(s) unknown gained entry to the victim's black 2011 buick regal by an unlocked door and ransacked the interior. no loss at time of report.,13-MAR-22 - 14-MAR-22,1.0,
9706,1528 HRS.,OAK PARK RESIDENT,"offender m/u, 5'10, last seen wearing a tan hooded jacket and jeans removed the blue/black snow shovel from the victim's front porch. unknown loss at time of report.",17-FEB-22,1.0,
9707,0552 HRS.,OAK PARK RESIDENT,"subject: wheeler, anthony 19 yoa of 4800 block of w. harrison chicago was arrested at the above location for criminal trespass to property.",27-JAN-22,1.0,
9708,1123-1730 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's package from the front of the residence. the package contained 3 containers of workout supplements. estimated loss $122.25.,05-NOV-21,2.0,
9709,1900-0900 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means removed the catalytic converter from the victim's 2008 blue honda cr-v while parked. estimated loss $1,000.00.",30-OCT-21 - 01-NOV-21,1.0,
9710,0900-1530 HRS,OAK PARK RESIDENT,person(s) unknown removed the victim's son's boy's bicycle a black carrera vengence while it was locked to a bicycle rack at above location. loss is estimated at $400.00.,07-SEP-21 - 08-EP-21,2.0,
9711,2130 - 0015 HRS.,DEKALB RESIDENT,"person(s) unknown by unknown means removed the victim's white 2014 subaru outback that was parked in front of the above location. estimated loss $20,000.00",18-AUG-21 - 19-AUG-21,2.0,
9712,0800 HRS.,OAK PARK RESIDENT,"offender m/b, 30 yoa, 5'07"", lsw a green jacket and green pants was observed by the victim striking the victim's vehicle. estimated loss $1,500.00.",25-MAY-21,1.0,
9713,0015 HRS,7-11-240 CHICAGO,"offender m/b, 20-25 yoa, 5'06""-5'08"", 160-180 lbs. lsw a dirty dark blue sweater, threw a brick paver breaking the plate glass window. damage estimated at $250.",25-MAY-21,1.0,
9714,0016 HRS,OAK PARK RESIDENT,person(s) unknown created a fake facebook marketplace profile and scammed the victim out of usc with the promise of delivering a sony playstation ps5 to the above location.,29-NOV-20,3.0,
9715,0442 HRS.,OAK PARK RESIDENT,"person(s) unknown discharged a firearm and the damaged the victim's parked, unoccuppied vehicle and the window blinds. estimated damages is unknown.",20-JUN-20,2.0,
9716,1955 HRS.,CHICAGO RESIDENT,"person(s) unknown by means of an unlocked door gained entry to the victim's vehicle. once inside, an apple iphone 8 was removed. estimated loss $500.00",08-MAY-20,1.0,
9717,1200 - 1459 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means damaged the hinge of the outer metal screen door of the victim's residence. uknown loss at the time of the report,25-APR-20 - 30-APR-20,1.0,
9718,1115-1120 HRS.,OAK PARK RESIDENT,person(s) unknown removed the amazon package that was delivered to the victim at the above location. the package contained a $50.00 gap gift card. total loss is $50.00.,18-NOV-19,1.0,
9719,1827 HRS.,OAK PARK RESIDENTS,"sahtout, mohammed 30 yoa of the 2400 block of s. 21st ave in broadview was arrested on four active original arrest warrants for theft out of oak park.",06-NOV-19,2.0,
9720,1700-2110 HRS.,PALOS HEIGHTS RESIDENT,"offender(s) unknown removed a grey surly lht bicycle from the rear rack of the victim's vehicle by means of defeating the locking mechanism. loss estimated at $2,500.",05-SEP-19,1.0,
9721,2300 - 0600 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of unlocked door, gained entry to the victim's vehicle and ransacked the interior, removing usc. total loss is $20.00.",15-JULY-19 - 16-JULY-19,1.0,
9722,1623 HRS.,MAYWOOD RESIDENT,an oak park juvenile was arrested for three (3) counts of aggravated battery that occurred on 09-july-19 in the 100 block of n. grove.,,1.0,manual_fix: date_extracted_from_offense '10-JULY-19'; manual_fix: offense_trimmed_of_date_suffix
9723,1015-1035 HRS,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained entry to victim's office. once inside, offender(s) removed a dark gray asus laptop computer. estimated loss $1,500.00",09-JUL-19,1.0,
9724,0700 - 1030 HRS.,FRANKLIN PARK BUSINESS,"offender(s) unknown removed two orange/white stihl concrete handheld saws from the bed of the victim's red/black 2015 ford while it was parked. estimated loss $2,000.00",06-MAY-19,1.0,
9725,1600 HRS.,CHICAGO RESIDENT,offender(s) unknown removed the victim's misplaced bmo harris debit card which was later used several times in the surrounding areas. estimated loss is unknown at this time.,09-APR-19,2.0,
9726,1402 - 1149 HRS.,OAK PARK RESIDENT,person(s) unknown removed packages containing two pairs of sketchers and a vijiv 1920 cape jacket that were delivered to the victim's residence. estimated loss $127.58,18-MAR-19 - 19-MAR-19,1.0,
9727,1104 HRS.,WEST SUBURBAN HOSPITAL / 3 ERIE CT.,offender(s) unknown removed the christmas lights and two extension cords on two of the trees on the north side of the hospital. estimated loss is $300.00,06-DEC-18,1.0,
9728,1000 - 0700 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the front and rear registration plates from the victim's 1998 silver ford taurus. estimated loss $9.00,25-NOV-18 - 26-NOV-18,1.0,
9729,1027 HRS,OAK PARK BUSINESS,"subject: fines, andrew p., 30 yoa of the 600 block of harrison oak park, illinois was arrested and charged with criminal damage to property.",23-OCT-18,1.0,
9730,0822 HRS.,STATE OF MINNESOTA,"subject: vaughn, mark 31yoa of 2000 block of south 3rd ave maywood, il was arrested after a name check revealed an outside warrant from ramsey county, mn.",13-SEP-18,1.0,
9731,2200-0800 HRS,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's garage by means of an unlocked side service door and removed a blue 24"" men's diamondback bicycle. estimated loss $225.00",08-SEP-18 - 09-SEP-18,4.0,
9732,1600 - 0600 HRS,OAK PARK RESIDENT,person(s) unknown by unknown means defeated the cable lock and removed the secured womens purple 3-wheel desoto classic tricycle from the yard. estimated loss $600.00,28-AUG-18 - 29-AUG-18,1.0,
9733,1600 - 0700 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means gained entry to the victim's 2007 red chevrolet and removed a black mp2 player and u.s.c. estimated loss $65.00,25-JUL-18 - 26-JUL-18,1.0,
9734,1730-1945HRS,OAK PARK RESIDENT,person(s) unknown removed the victim's white with black grips mercier kilo tt fixed gear bicycle that was locked to the bike rack. loss estimated at $499.,27-JUN-18,3.0,
9735,1800 HRS.,ALCUIN MONTESSORI SCHOOL / 324 N. OAK PARK AVE.,"subject: houston, james w. 61 yoa, of the 1600 block of w. juneway terrace, chicago was arrested for the burglary that occurred on 24-apr-18.",03-JUN-18,1.0,
9736,1044 - 1830 HRS.,OAK PARK RESIDENT,person(s) unknown removed 5 allwon magnetic palettes and a bottle of vitamins from amazon packages that were left in an apartment common area. estimated loss is $100.00.,28-MAY-18,1.0,
9737,0950 HRS.,CHCIAGO RESIDENT,the 2006 nissan altima that was reported stolen on 12-apr-18 out of oak park was recovered by chicago pd at the above location. no apprehensions.,18-APR-18,1.0,
9738,1600 - 0929 HRS.,PREMIER PHYSICAL THERAPY,"person(s) unknown, by possible means of a bb gun, damaged the 70"" x 33"" glass to the front door at the above address. estimated damage is $380.00.",23-MAR-18 - 24-MAR-18,2.0,
9739,0630 HRS,OAK PARK RESIDENT,"subject: baker, dean, 61 yoa, of 2100 block w. roosevelt, broadview, illinois was arrested and charged with criminal trespass to residence.",19-MAR-18,1.0,
9740,1155 HRS,STATE OF ILLINOIS,"subject: green, terrance t. 22yoa, of the 1500 block waverly ave., westchester, was involved in a traffic crash and was arrested for driving with a suspended license.",25-JAN-18,1.0,
9741,0248 HRS,OAK PARK RESIDENT NA,"subject: dukes, leon, 32yoa of the 100 block of adams was arrested for residential burglary and theft of stol en property at above location.",,,
9742,2038 HRS.,OAK PARK RESIDENT,victim heard his 4' x 4' kitchen window being shattered. victim later found a bullet that had penetrated the window. estimated damage was unknown.,27-MAR-26,1.0,
9743,1400 - 1800 HRS.,CHICAGO RESIDENT,person(s) unknown by unknown means damaged the front drivers door lock and handle of the victim's 2019 hyundai tucson. estimated damage was unknown.,02-NOV-25,2.0,
9744,1240 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked scooter, removed the victim's kiukick kqi 100f electric scooter. the scooter was entered into l.e.a.d.s. estimated loss $500.23.",04-SEP-25,1.0,
9745,1525 HRS.,OAK PARK RESIDENT,two male subjects were observed on surveillance footage exit the building with the victim's packages containing coloring books and business cards. estimated loss $366.00.,17-JUN-25,2.0,
9746,0100-1030 HRS.,OAK PARK RESIDENT,"person(s) unknown entered the common area of the building, opened the victim's post office delivery box and removed prescription medication. loss estimated at $500.00.",14-JUN-25,1.0,
9747,0655 HRS.,OAK PARK RESIDENT,a male subject came from behind the victim and punched him on the right side of the victim's face with an unknown fist. the subject then fled southbound on home ave.,27-MAY-25,1.0,
9748,1234 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, removed the victim's gray/black 2017 yama zuma scooter. the scooter was entered into leads. estimated loss $3,150.00.",23-MAY-25,1.0,
9749,1713 - 1717 HRS.,WALGREENS / 6412 ROOSEVELT,"m/b, removed misc. merchandise and then exited the business without payment. subject left east on roosevelt on a blue divvy bike. estimated loss $311.49",25-MAR-25,1.0,
9750,2230 - 0730 HRS.,OAK PARK APTS. / 638 HARRISON,person(s) unknown by means of breaking a door lock gained entry to the building and removed the contents of a delivered package. estimated loss is unknown.,24-FEB-25 - 25-FEB-25,1.0,
9751,1850 - 1858 HRS.,WALGREENS / 6412 ROOSEVELT,"m/h, removed multiple hair products and facial ointments that were offered for sale and then exited the business without payment. estimated loss $200.00",12-FEB-25,1.0,
9752,0422 HRS.,STATE OF ILLINOIS,"galvez ramirez, christopher a. (m/21) of the 8700 block of s. houston, chicago, il. was arrested for driving under the influence of alcohol.",19-JAN-25,2.0,
9753,0618 HRS.,STATE OF ILLINOIS,"curry, javon d. (m/40) of the 700 block of w. park, aurora, il. was arrested for manufacture, delivery, possession of cannabis.",27-NOV-24,3.0,
9754,2000 - 0800 HRS.,OAK PARK RESIDENT,"subject(s) unknown, by possible means of a cutting tool, slashed the cloth convertible rooftop of the victim's vehicle. estimated damage $1,000.00",09-OCT-24 - 10-OCT-24,1.0,
9755,1645 - 1647 HRS.,OAK PARK RESIDENT,"offender: m/b, removed the victim's black nike tech jacket and fled on foot. offender was last seen northbound in the ridgeland / cuyler alley. estimated loss $170.00",07-OCT-24,1.0,
9756,1225 - 1227 HRS.,OLD NAVY / 417 N. HARLEM,"offender: m/b, removed several clothing items and then exited the business without payment. subject was last seen south on harlem. estimated loss $1,607.84",01-SEP-24,3.0,
9757,1000 - 0515 HRS.,INDIANA RESIDENT,"person(s) unknown by unknown means broke a window and gained entry to the victim's 2020 nissan maxima and removed the vehicle. estimated loss $20,000.00.",27-AUG-24 - 28-AUG-24,1.0,
9758,0723 HRS.,OAK PARK RESIDENT,person(s) unknown by means of a sharp object scratched the bottom of the victim's windshild on his 2014 toyota prius. estimated damage is unknown.,25-AUG-24,4.0,
